中加基金管理有限公司|公募TA|0D
中加基金管理有限公司|公募产品直销|288
民生加银资产管理有限公司|管理人TA|0E
民生加银资产管理有限公司|资管产品直销|289
中融基金管理有限公司|公募TA|0F
中融基金管理有限公司|公募产品直销|290
招商财富资产管理有限公司|管理人TA|0G
招商财富资产管理有限公司|公募产品代销|291
嘉实资本管理有限公司|管理人TA|0H
嘉实资本管理有限公司|资管产品直销|292
深圳市融通资本管理股份有限公司|管理人TA|0I
深圳市融通资本管理股份有限公司|资管产品直销|293
上海金元百利资产管理有限公司|管理人TA|0J
上海金元百利资产管理有限公司|资管产品直销|294
兴业财富资产管理有限公司|管理人TA|0K
兴业财富资产管理有限公司|资管产品直销|295
鑫元基金管理有限公司|公募TA|0L
鑫元基金管理有限公司|公募产品直销|296
中信信诚资产管理有限公司|管理人TA|0M
中信信诚资产管理有限公司|资管产品直销|297
国开泰富基金管理有限责任公司|公募TA|0N
国开泰富基金管理有限责任公司|公募产品直销|298
建信资本管理有限责任公司|管理人TA|0P
建信资本管理有限责任公司|资管产品直销|299
诺亚正行（上海）基金销售投资顾问有限公司|公募产品代销|301
深圳众禄基金销售股份有限公司|公募产品代销|302
上海天天基金销售有限公司|公募产品代销|303
上海好买基金销售有限公司|公募产品代销|304
蚂蚁（杭州）基金销售有限公司|公募产品代销|305
上海长量基金销售投资顾问有限公司|公募产品代销|306
浙江同花顺基金销售有限公司|公募产品代销|307
天津市凤凰财富基金销售有限公司|公募产品代销|310
中期时代基金销售（北京）有限公司|公募产品代销|311
杭州金观诚基金销售有限公司|公募产品代销|312
嘉实财富管理有限公司|公募产品代销|313
北京创金启富基金销售有限公司|公募产品代销|315
泛华普益基金销售有限公司|公募产品代销|316
宜信普泽投资顾问（北京）有限公司|公募产品代销|317
北京万银财富投资有限公司|公募产品代销|320
北京增财基金销售有限公司|公募产品代销|321
北京中天嘉华基金销售有限公司|公募产品代销|322
深圳腾元基金销售有限公司|公募产品代销|323
上海通华财富资产管理有限公司|公募产品代销|324
北京恒天明泽基金销售有限公司|公募产品代销|325
深圳宜投基金销售有限公司|公募产品代销|326
